service,gender,race,hispanicity,paygrade,count
Army,MALE,AMI/ALN,HISP,O01,2
Army,MALE,AMI/ALN,NON-HISP,O01,38
Army,MALE,ASIAN,HISP,O01,0
Army,MALE,ASIAN,NON-HISP,O01,361
Army,MALE,BLACK,HISP,O01,18
Army,MALE,BLACK,NON-HISP,O01,746
Army,MALE,MULTI,HISP,O01,0
Army,MALE,MULTI,NON-HISP,O01,0
Army,MALE,P/I,HISP,O01,0
Army,MALE,P/I,NON-HISP,O01,0
Army,MALE,WHITE,HISP,O01,205
Army,MALE,WHITE,NON-HISP,O01,4829
Army,MALE,UNK,HISP,O01,285
Army,MALE,UNK,NON-HISP,O01,200
Army,FEMALE,AMI/ALN,HISP,O01,0
Army,FEMALE,AMI/ALN,NON-HISP,O01,11
Army,FEMALE,ASIAN,HISP,O01,1
Army,FEMALE,ASIAN,NON-HISP,O01,112
Army,FEMALE,BLACK,HISP,O01,4
Army,FEMALE,BLACK,NON-HISP,O01,398
Army,FEMALE,MULTI,HISP,O01,0
Army,FEMALE,MULTI,NON-HISP,O01,0
Army,FEMALE,P/I,HISP,O01,0
Army,FEMALE,P/I,NON-HISP,O01,0
Army,FEMALE,WHITE,HISP,O01,42
Army,FEMALE,WHITE,NON-HISP,O01,942
Army,FEMALE,UNK,HISP,O01,71
Army,FEMALE,UNK,NON-HISP,O01,93
Army,MALE,AMI/ALN,HISP,O02,0
Army,MALE,AMI/ALN,NON-HISP,O02,41
Army,MALE,ASIAN,HISP,O02,5
Army,MALE,ASIAN,NON-HISP,O02,432
Army,MALE,BLACK,HISP,O02,8
Army,MALE,BLACK,NON-HISP,O02,781
Army,MALE,MULTI,HISP,O02,0
Army,MALE,MULTI,NON-HISP,O02,0
Army,MALE,P/I,HISP,O02,0
Army,MALE,P/I,NON-HISP,O02,0
Army,MALE,WHITE,HISP,O02,134
Army,MALE,WHITE,NON-HISP,O02,6502
Army,MALE,UNK,HISP,O02,368
Army,MALE,UNK,NON-HISP,O02,289
Army,FEMALE,AMI/ALN,HISP,O02,0
Army,FEMALE,AMI/ALN,NON-HISP,O02,15
Army,FEMALE,ASIAN,HISP,O02,0
Army,FEMALE,ASIAN,NON-HISP,O02,123
Army,FEMALE,BLACK,HISP,O02,6
Army,FEMALE,BLACK,NON-HISP,O02,524
Army,FEMALE,MULTI,HISP,O02,0
Army,FEMALE,MULTI,NON-HISP,O02,0
Army,FEMALE,P/I,HISP,O02,0
Army,FEMALE,P/I,NON-HISP,O02,0
Army,FEMALE,WHITE,HISP,O02,48
Army,FEMALE,WHITE,NON-HISP,O02,1227
Army,FEMALE,UNK,HISP,O02,107
Army,FEMALE,UNK,NON-HISP,O02,104
Army,MALE,AMI/ALN,HISP,O03,5
Army,MALE,AMI/ALN,NON-HISP,O03,94
Army,MALE,ASIAN,HISP,O03,3
Army,MALE,ASIAN,NON-HISP,O03,1014
Army,MALE,BLACK,HISP,O03,28
Army,MALE,BLACK,NON-HISP,O03,2221
Army,MALE,MULTI,HISP,O03,0
Army,MALE,MULTI,NON-HISP,O03,0
Army,MALE,P/I,HISP,O03,0
Army,MALE,P/I,NON-HISP,O03,0
Army,MALE,WHITE,HISP,O03,473
Army,MALE,WHITE,NON-HISP,O03,15368
Army,MALE,UNK,HISP,O03,869
Army,MALE,UNK,NON-HISP,O03,1107
Army,FEMALE,AMI/ALN,HISP,O03,3
Army,FEMALE,AMI/ALN,NON-HISP,O03,20
Army,FEMALE,ASIAN,HISP,O03,3
Army,FEMALE,ASIAN,NON-HISP,O03,350
Army,FEMALE,BLACK,HISP,O03,9
Army,FEMALE,BLACK,NON-HISP,O03,1285
Army,FEMALE,MULTI,HISP,O03,0
Army,FEMALE,MULTI,NON-HISP,O03,0
Army,FEMALE,P/I,HISP,O03,0
Army,FEMALE,P/I,NON-HISP,O03,0
Army,FEMALE,WHITE,HISP,O03,87
Army,FEMALE,WHITE,NON-HISP,O03,3002
Army,FEMALE,UNK,HISP,O03,215
Army,FEMALE,UNK,NON-HISP,O03,370
Army,MALE,AMI/ALN,HISP,O04,0
Army,MALE,AMI/ALN,NON-HISP,O04,77
Army,MALE,ASIAN,HISP,O04,4
Army,MALE,ASIAN,NON-HISP,O04,537
Army,MALE,BLACK,HISP,O04,19
Army,MALE,BLACK,NON-HISP,O04,1495
Army,MALE,MULTI,HISP,O04,0
Army,MALE,MULTI,NON-HISP,O04,0
Army,MALE,P/I,HISP,O04,0
Army,MALE,P/I,NON-HISP,O04,0
Army,MALE,WHITE,HISP,O04,340
Army,MALE,WHITE,NON-HISP,O04,10694
Army,MALE,UNK,HISP,O04,423
Army,MALE,UNK,NON-HISP,O04,617
Army,FEMALE,AMI/ALN,HISP,O04,0
Army,FEMALE,AMI/ALN,NON-HISP,O04,12
Army,FEMALE,ASIAN,HISP,O04,0
Army,FEMALE,ASIAN,NON-HISP,O04,146
Army,FEMALE,BLACK,HISP,O04,4
Army,FEMALE,BLACK,NON-HISP,O04,666
Army,FEMALE,MULTI,HISP,O04,0
Army,FEMALE,MULTI,NON-HISP,O04,0
Army,FEMALE,P/I,HISP,O04,0
Army,FEMALE,P/I,NON-HISP,O04,0
Army,FEMALE,WHITE,HISP,O04,56
Army,FEMALE,WHITE,NON-HISP,O04,1255
Army,FEMALE,UNK,HISP,O04,98
Army,FEMALE,UNK,NON-HISP,O04,102
Army,MALE,AMI/ALN,HISP,O05,1
Army,MALE,AMI/ALN,NON-HISP,O05,28
Army,MALE,ASIAN,HISP,O05,3
Army,MALE,ASIAN,NON-HISP,O05,197
Army,MALE,BLACK,HISP,O05,9
Army,MALE,BLACK,NON-HISP,O05,895
Army,MALE,MULTI,HISP,O05,0
Army,MALE,MULTI,NON-HISP,O05,0
Army,MALE,P/I,HISP,O05,0
Army,MALE,P/I,NON-HISP,O05,0
Army,MALE,WHITE,HISP,O05,166
Army,MALE,WHITE,NON-HISP,O05,6786
Army,MALE,UNK,HISP,O05,165
Army,MALE,UNK,NON-HISP,O05,307
Army,FEMALE,AMI/ALN,HISP,O05,0
Army,FEMALE,AMI/ALN,NON-HISP,O05,7
Army,FEMALE,ASIAN,HISP,O05,0
Army,FEMALE,ASIAN,NON-HISP,O05,57
Army,FEMALE,BLACK,HISP,O05,3
Army,FEMALE,BLACK,NON-HISP,O05,302
Army,FEMALE,MULTI,HISP,O05,0
Army,FEMALE,MULTI,NON-HISP,O05,0
Army,FEMALE,P/I,HISP,O05,0
Army,FEMALE,P/I,NON-HISP,O05,0
Army,FEMALE,WHITE,HISP,O05,29
Army,FEMALE,WHITE,NON-HISP,O05,788
Army,FEMALE,UNK,HISP,O05,29
Army,FEMALE,UNK,NON-HISP,O05,39
Army,MALE,AMI/ALN,HISP,O06,0
Army,MALE,AMI/ALN,NON-HISP,O06,8
Army,MALE,ASIAN,HISP,O06,1
Army,MALE,ASIAN,NON-HISP,O06,74
Army,MALE,BLACK,HISP,O06,1
Army,MALE,BLACK,NON-HISP,O06,363
Army,MALE,MULTI,HISP,O06,0
Army,MALE,MULTI,NON-HISP,O06,0
Army,MALE,P/I,HISP,O06,0
Army,MALE,P/I,NON-HISP,O06,0
Army,MALE,WHITE,HISP,O06,49
Army,MALE,WHITE,NON-HISP,O06,3313
Army,MALE,UNK,HISP,O06,63
Army,MALE,UNK,NON-HISP,O06,101
Army,FEMALE,AMI/ALN,HISP,O06,0
Army,FEMALE,AMI/ALN,NON-HISP,O06,1
Army,FEMALE,ASIAN,HISP,O06,0
Army,FEMALE,ASIAN,NON-HISP,O06,11
Army,FEMALE,BLACK,HISP,O06,0
Army,FEMALE,BLACK,NON-HISP,O06,87
Army,FEMALE,MULTI,HISP,O06,0
Army,FEMALE,MULTI,NON-HISP,O06,0
Army,FEMALE,P/I,HISP,O06,0
Army,FEMALE,P/I,NON-HISP,O06,0
Army,FEMALE,WHITE,HISP,O06,8
Army,FEMALE,WHITE,NON-HISP,O06,367
Army,FEMALE,UNK,HISP,O06,10
Army,FEMALE,UNK,NON-HISP,O06,14
Army,MALE,AMI/ALN,HISP,O07,0
Army,MALE,AMI/ALN,NON-HISP,O07,1
Army,MALE,ASIAN,HISP,O07,0
Army,MALE,ASIAN,NON-HISP,O07,1
Army,MALE,BLACK,HISP,O07,0
Army,MALE,BLACK,NON-HISP,O07,12
Army,MALE,MULTI,HISP,O07,0
Army,MALE,MULTI,NON-HISP,O07,0
Army,MALE,P/I,HISP,O07,0
Army,MALE,P/I,NON-HISP,O07,0
Army,MALE,WHITE,HISP,O07,1
Army,MALE,WHITE,NON-HISP,O07,124
Army,MALE,UNK,HISP,O07,3
Army,MALE,UNK,NON-HISP,O07,4
Army,FEMALE,AMI/ALN,HISP,O07,0
Army,FEMALE,AMI/ALN,NON-HISP,O07,0
Army,FEMALE,ASIAN,HISP,O07,0
Army,FEMALE,ASIAN,NON-HISP,O07,0
Army,FEMALE,BLACK,HISP,O07,0
Army,FEMALE,BLACK,NON-HISP,O07,1
Army,FEMALE,MULTI,HISP,O07,0
Army,FEMALE,MULTI,NON-HISP,O07,0
Army,FEMALE,P/I,HISP,O07,0
Army,FEMALE,P/I,NON-HISP,O07,0
Army,FEMALE,WHITE,HISP,O07,1
Army,FEMALE,WHITE,NON-HISP,O07,9
Army,FEMALE,UNK,HISP,O07,0
Army,FEMALE,UNK,NON-HISP,O07,0
Army,MALE,AMI/ALN,HISP,O08,1
Army,MALE,AMI/ALN,NON-HISP,O08,0
Army,MALE,ASIAN,HISP,O08,0
Army,MALE,ASIAN,NON-HISP,O08,1
Army,MALE,BLACK,HISP,O08,0
Army,MALE,BLACK,NON-HISP,O08,8
Army,MALE,MULTI,HISP,O08,0
Army,MALE,MULTI,NON-HISP,O08,0
Army,MALE,P/I,HISP,O08,0
Army,MALE,P/I,NON-HISP,O08,0
Army,MALE,WHITE,HISP,O08,0
Army,MALE,WHITE,NON-HISP,O08,91
Army,MALE,UNK,HISP,O08,0
Army,MALE,UNK,NON-HISP,O08,0
Army,FEMALE,AMI/ALN,HISP,O08,0
Army,FEMALE,AMI/ALN,NON-HISP,O08,0
Army,FEMALE,ASIAN,HISP,O08,0
Army,FEMALE,ASIAN,NON-HISP,O08,0
Army,FEMALE,BLACK,HISP,O08,0
Army,FEMALE,BLACK,NON-HISP,O08,0
Army,FEMALE,MULTI,HISP,O08,0
Army,FEMALE,MULTI,NON-HISP,O08,0
Army,FEMALE,P/I,HISP,O08,0
Army,FEMALE,P/I,NON-HISP,O08,0
Army,FEMALE,WHITE,HISP,O08,0
Army,FEMALE,WHITE,NON-HISP,O08,5
Army,FEMALE,UNK,HISP,O08,0
Army,FEMALE,UNK,NON-HISP,O08,0
Army,MALE,AMI/ALN,HISP,O09,0
Army,MALE,AMI/ALN,NON-HISP,O09,0
Army,MALE,ASIAN,HISP,O09,0
Army,MALE,ASIAN,NON-HISP,O09,0
Army,MALE,BLACK,HISP,O09,0
Army,MALE,BLACK,NON-HISP,O09,3
Army,MALE,MULTI,HISP,O09,0
Army,MALE,MULTI,NON-HISP,O09,0
Army,MALE,P/I,HISP,O09,0
Army,MALE,P/I,NON-HISP,O09,0
Army,MALE,WHITE,HISP,O09,0
Army,MALE,WHITE,NON-HISP,O09,50
Army,MALE,UNK,HISP,O09,0
Army,MALE,UNK,NON-HISP,O09,0
Army,FEMALE,AMI/ALN,HISP,O09,0
Army,FEMALE,AMI/ALN,NON-HISP,O09,0
Army,FEMALE,ASIAN,HISP,O09,0
Army,FEMALE,ASIAN,NON-HISP,O09,0
Army,FEMALE,BLACK,HISP,O09,0
Army,FEMALE,BLACK,NON-HISP,O09,0
Army,FEMALE,MULTI,HISP,O09,0
Army,FEMALE,MULTI,NON-HISP,O09,0
Army,FEMALE,P/I,HISP,O09,0
Army,FEMALE,P/I,NON-HISP,O09,0
Army,FEMALE,WHITE,HISP,O09,0
Army,FEMALE,WHITE,NON-HISP,O09,1
Army,FEMALE,UNK,HISP,O09,0
Army,FEMALE,UNK,NON-HISP,O09,0
Army,MALE,AMI/ALN,HISP,O10,0
Army,MALE,AMI/ALN,NON-HISP,O10,0
Army,MALE,ASIAN,HISP,O10,0
Army,MALE,ASIAN,NON-HISP,O10,0
Army,MALE,BLACK,HISP,O10,0
Army,MALE,BLACK,NON-HISP,O10,1
Army,MALE,MULTI,HISP,O10,0
Army,MALE,MULTI,NON-HISP,O10,0
Army,MALE,P/I,HISP,O10,0
Army,MALE,P/I,NON-HISP,O10,0
Army,MALE,WHITE,HISP,O10,0
Army,MALE,WHITE,NON-HISP,O10,9
Army,MALE,UNK,HISP,O10,0
Army,MALE,UNK,NON-HISP,O10,0
Army,FEMALE,AMI/ALN,HISP,O10,0
Army,FEMALE,AMI/ALN,NON-HISP,O10,0
Army,FEMALE,ASIAN,HISP,O10,0
Army,FEMALE,ASIAN,NON-HISP,O10,0
Army,FEMALE,BLACK,HISP,O10,0
Army,FEMALE,BLACK,NON-HISP,O10,0
Army,FEMALE,MULTI,HISP,O10,0
Army,FEMALE,MULTI,NON-HISP,O10,0
Army,FEMALE,P/I,HISP,O10,0
Army,FEMALE,P/I,NON-HISP,O10,0
Army,FEMALE,WHITE,HISP,O10,0
Army,FEMALE,WHITE,NON-HISP,O10,1
Army,FEMALE,UNK,HISP,O10,0
Army,FEMALE,UNK,NON-HISP,O10,0
Navy,MALE,AMI/ALN,HISP,O01,5
Navy,MALE,AMI/ALN,NON-HISP,O01,58
